 LED calibration
Run: 

Gain - PMT gain divided by 10^5
K_adc - conversion factor of MAROC channel (input charge in fC to ADC codes)
1pe, code - single photoelectron amplitude in ADC codes
Rel_sens - relative sensitivity of pixel

Cluster     Channel        Gain       K_adc   1pe, code    Rel_sens
 4        15         0         0      0.99      0.88
 4        16         0         0     24.04      1.01
 4        17         0         0      0.97      1.01
 4        18         0         0     22.22      1.09
 4        19         0         0      1.37      1.09
 4        20         0         0     20.86      1.17
 4        21         0         0      1.45      1.17
 4        22         0         0      29.3      0.79
 4        23         0         0      1.39      0.79
 4        24         0         0     25.77      0.95
 4        25         0         0      1.22      0.95
 4        26         0         0     21.35      1.15
 4        27         0         0      1.43      1.15
 4        28         0         0     20.13      1.24
 4        29         0         0      1.08      1.24
 4        30         0         0     27.24      1.01
 4        31         0         0      1.43      1.01
 4        32         0         0     26.63      0.92
 4        33         0         0      1.45      0.92
 4        34         0         0     23.74      1.08
 4        35         0         0      0.98      1.08
 4        36         0         0     24.95      1.04
 4        37         0         0      1.15      1.04
 4        38         0         0     22.03      1.08
 4        39         0         0       1.3      1.08
 4        40         0         0     24.92      1.02
 4        41         0         0      0.94      1.02
 4        42         0         0     22.37       1.2
 4        43         0         0      1.13       1.2
 4        44         0         0     25.24      0.99
 4        45         0         0      1.13      0.99
 4        46         0         0     22.38      1.19
 4        47         0         0      1.15      1.19
 4        48         0         0     28.46      0.87
 4        49         0         0      1.57      0.87
 4        50         0         0     19.78      1.23
 4        51         0         0       1.1      1.23
 4        52         0         0     21.98      1.13
 4        53         0         0      1.27      1.13
 4        54         0         0     23.27      1.12
 4        55         0         0      1.32      1.12
 4        56         0         0     28.66      0.84
 4        57         0         0       1.4      0.84
 4        58         0         0     25.02      1.08
 4        59         0         0      1.01      1.08
 5         4         0         0     30.22      1.09
 5         5         0         0      1.29      1.09
 5         6         0         0     29.81      1.04
 5         7         0         0      0.99      1.04
 5         8         0         0     32.96      0.99
 5         9         0         0      0.99      0.99
 5        10         0         0     30.51      1.11
 5        11         0         0      1.39      1.11
 5        12         0         0     27.24      1.24
 5        13         0         0      1.14      1.24
 5        14         0         0     33.27      0.97
 5        15         0         0      1.01      0.97
 5        16         0         0     30.68      1.04
 5        17         0         0      1.07      1.04
 5        18         0         0     34.78      0.92
 5        19         0         0      1.07      0.92
 5        20         0         0     25.79      1.26
 5        21         0         0      1.02      1.26
 5        22         0         0     27.85      1.21
 5        23         0         0      1.35      1.21
 5        24         0         0     26.16      1.16
 5        25         0         0      0.85      1.16
 5        26         0         0     33.05      0.98
 5        27         0         0      1.37      0.98
 5        28         0         0     33.79      0.99
 5        29         0         0      1.54      0.99
 5        30         0         0      27.2      1.15
 5        31         0         0      1.02      1.15
 5        32         0         0      35.2      0.94
 5        33         0         0      1.25      0.94
 5        34         0         0     36.54      0.91
 5        35         0         0      1.56      0.91
 5        36         0         0     29.14      1.15
 5        37         0         0       1.0      1.15
 5        38         0         0      29.0      1.12
 5        39         0         0      1.54      1.12
 5        40         0         0      32.0      1.06
 5        41         0         0      1.15      1.06
 5        42         0         0     33.09      1.04
 5        43         0         0      1.77      1.04
 5        44         0         0     31.21      1.06
 5        45         0         0      0.97      1.06
 5        46         0         0     34.61      1.01
 5        47         0         0      0.97      1.01
 5        48         0         0     30.63      1.01
 5        49         0         0      1.08      1.01
 5        50         0         0     25.48      1.28
 5        51         0         0      0.91      1.28
 5        52         0         0      31.1      1.11
 5        53         0         0      0.96      1.11
 5        54         0         0     32.55       1.1
 5        55         0         0      0.89       1.1
 5        56         0         0     29.71      1.06
 5        57         0         0      1.46      1.06
 5        58         0         0     30.95      1.14
 5        59         0         0      1.11      1.14
 6         4         0         0     31.15      0.97
 6         5         0         0      1.06      0.97
 6         6         0         0     28.24      1.05
 6         7         0         0      1.21      1.05
 6         8         0         0     29.68      1.06
 6         9         0         0       1.1      1.06
 6        10         0         0     25.85      1.19
 6        11         0         0      1.24      1.19
 6        12         0         0     24.36      1.15
 6        13         0         0      1.01      1.15
 6        14         0         0     27.68      1.09
 6        15         0         0      1.55      1.09
 6        16         0         0     84.01      0.66
 6        17         0         0      1.79      0.66
 6        18         0         0     29.89       1.1
 6        19         0         0      1.17       1.1
 6        20         0         0     26.09      1.09
 6        21         0         0      1.27      1.09
 6        22         0         0     28.79      1.03
 6        23         0         0      1.46      1.03
 6        24         0         0      25.1      1.19
 6        25         0         0      1.11      1.19
 6        26         0         0     24.28       1.1
 6        27         0         0      1.28       1.1
 6        28         0         0     27.14      1.14
 6        29         0         0      1.12      1.14
 6        30         0         0     26.92      1.06
 6        31         0         0      1.33      1.06
 6        32         0         0     28.59      0.99
 6        33         0         0      1.17      0.99
 6        34         0         0     33.15      0.88
 6        35         0         0      1.26      0.88
 6        36         0         0     33.56      0.82
 6        37         0         0      1.15      0.82
 6        38         0         0     27.01      1.04
 6        39         0         0      1.41      1.04
 6        40         0         0     26.75      1.03
 6        41         0         0      1.28      1.03
 6        42         0         0     26.03      1.05
 6        43         0         0      1.23      1.05
 6        44         0         0     26.62      0.96
 6        45         0         0      1.23      0.96
 6        46         0         0     28.81       1.0
 6        47         0         0      1.24       1.0
 6        48         0         0     24.74      1.19
 6        49         0         0      1.19      1.19
 6        50         0         0     22.71      1.15
 6        51         0         0      0.95      1.15
 6        52         0         0      26.5      1.11
 6        53         0         0      1.44      1.11
 6        54         0         0      25.2      1.07
 6        55         0         0      1.21      1.07
 6        56         0         0     28.41      1.05
 6        57         0         0      1.19      1.05
 6        58         0         0     29.74       1.0
 6        59         0         0       1.0       1.0
 7         4         0         0     26.28      1.05
 7         5         0         0       1.4      1.05
 7         6         0         0      26.3      0.98
 7         7         0         0      1.86      0.98
 7         8         0         0     26.63      1.09
 7         9         0         0      1.38      1.09
 7        10         0         0     26.38       1.0
 7        11         0         0      1.43       1.0
 7        12         0         0     26.91      0.99
 7        13         0         0      0.91      0.99
 7        14         0         0     24.67      0.99
 7        15         0         0      1.16      0.99
 7        16         0         0     28.66      0.93
 7        17         0         0      1.24      0.93
 7        18         0         0     31.89      0.81
 7        19         0         0      1.52      0.81
 7        20         0         0     22.31       1.2
 7        21         0         0       1.3       1.2
 7        22         0         0     28.08      0.97
 7        23         0         0      1.39      0.97
 7        24         0         0     23.78      1.16
 7        25         0         0       1.3      1.16
 7        26         0         0     27.75      0.96
 7        27         0         0      1.14      0.96
 7        28         0         0     23.51       1.2
 7        29         0         0       1.4       1.2
